株主ID,株主名,性別,年齢,職業,市,地名
1,五十嵐,男,30,フリーター,つくば,谷田部
2,山田,男,31,フリーランサー,つくば,谷田部字瑞穂
3,溝上,男,32,警備員,つくば,羽成
4,北川,女,33,政治家,つくば,飯田
5,天笠,男,34,パイロット,つくば,中野
6,塩川,男,35,客室乗務員,つくば,片田
7,亀山,男,36,医療,つくば,上萱丸
8,川上,男,37,介護,つくば,花島新田
9,大倉,女,38,保育,つくば,下萱丸
10,山﨑,男,39,シェフ,つくば,小白硲
11,崎山,男,40,一般事務,つくば,西栗山
12,橋本,男,41,事務補助,つくば,上横場
13,森,女,42,総務事務,つくば,境田
14,大森,女,43,人事事務,つくば,境松
15,小山田,男,44,秘書,つくば,根崎
16,和田,男,45,受付・案内事務,つくば,古館
17,川島,男,22,医療事務・受付,つくば,緑が丘
18,田中,女,47,調剤薬局事務,つくば,東丸山
19,山下,男,48,護事務,つくば,真瀬
20,松島,男,49,会計・経理事務,つくば,鍋沼新田
21,松本,男,50,営業事務,つくば,高須賀
22,佐々木,男,51,販売事務,つくば,高良田
23,三輪,男,52,金融,つくば,島名
24,鬼塚,男,20,保険事務,つくば,中別府
25,石川,男,54,貿易事務,つくば,下別府
26,宮崎,男,55,企画事務,つくば,上河原崎下河原崎入会地
27,伊藤,男,26,マーケティング,つくば,上河原崎
28,佐藤,男,57,生産・工程管理事務,つくば,鬼ケ窪
29,関谷,男,58,出荷・受荷事務,つくば,高田
30,久松,女,59,運行管理事務,つくば,面野井
31,中村,男,60,郵便事務,つくば,下河原崎
32,梅村,男,30,旅客・料金収受係,つくば,水堀
33,山口,女,23,データ入力等ＰＣ操作,つくば,北郷
34,中澤,男,32,コールセンターオペレーター,つくば,西平塚
35,米澤,男,33,テレアポ等,つくば,東平塚
36,松枝,男,26,集金・検針・調査等の外勤事務,つくば,下平塚
37,大沢,女,35,法人・団体の役員・管理職等,つくば,葛城根崎
38,山上,男,36,不動産営業,つくば,苅間
39,堀江,男,37,金融・保険営業,つくば,西大橋
40,今倉,男,38,飲食料品販売営業,つくば,西岡
41,秋本,女,39,機械器具・電気器具販売営業,つくば,小野崎
42,安倍,男,40,自動車販売営業,つくば,島
43,北村,男,41,製品受注営業,つくば,平
44,大野,男,42,通信・情報システム営業,つくば,大白硲
45,吉川,男,26,化学品販売営業、医薬品営業,つくば,柳橋
46,山本,男,29,広告営業、会員勧誘、その他の営業,つくば,新井
47,遠藤,男,45,テレフォンアポインター,つくば,山中
48,西村,男,46,スーパー・百貨店販売店員,つくば,藤本
49,大西,女,47,レジ係,つくば,大わし
50,勝,男,25,コンビニエンスストア店員,つくば,中内
51,石塚,女,49,衣料品販売店員,つくば,館野
52,秋山,男,50,飲食料品販売店員,つくば,榎戸
53,吉江,男,51,医薬品・化粧品販売店員,つくば,北中妻
54,金谷,男,28,自動車販売店員,つくば,赤塚
55,大須賀,男,53,電気機器販売店員,つくば,下原
56,矢島,男,54,ガソリンスタンド販売員,つくば,梶内
57,福島,男,55,その他の小売店販売員,つくば,南中妻
58,曽我,女,56,小売店作業員（商品の陳列・補充等）,つくば,下横場
59,中里,男,57,店長（小売、卸売）,つくば,稲岡
60,中務,男,58,不動産仲介・売買,つくば,北中島
61,清水,男,59,訪問販売、卸売、その他の販売,つくば,市之台
62,日野原,女,60,飲食店のホールスタッフ,つくば,今泉
63,宮城,男,30,飲食店店長,つくば,新牧田
